"id","title","description","director","star1","star2","poster_url","release_date","imdb_rating","our_rating"
"569","Nosferatu","A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","F.W. Murnau","Max Schreck","Alexander Granach","/fYnEbgoNCxW9kL0IgOgtJb9JTBU.jpg",,"7.9","0"
"570","The Gentlemen","American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Guy Ritchie","Matthew McConaughey","Charlie Hunnam","/tintsaQ0WLzZsTMkTiqtMB3rfc8.jpg",,"7.8","0"
"571","Raazi","An Indian spy is married to a Pakistani military officer during the Indo-Pakistani War of 1971.","Meghna Gulzar","Alia Bhatt","Vicky Kaushal","/gsKNlRSAjR7oZQyvGBfU110VeC2.jpg",,"7.8","0"
"572","Sound of Metal","Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.","Darius Marder","Riz Ahmed","Olivia Cooke","/7b5R8FfGUzlxfhOkPpL3xyIeuyF.jpg",,"7.8","0"
"574","Dunkirk","A British Corporal in France finds himself responsible for the lives of his men when their officer is killed. He has to get them back to Britain somehow. Meanwhile, British civilians are being dragged into the war with Operation Dynamo, the scheme to get the French and British forces back from the Dunkirk beaches. Some come forward to help, others were less willing.","Christopher Nolan","Fionn Whitehead","Barry Keoghan","/28h4irC8CPqnS7oKQ18RHDgCuPI.jpg",,"7.8","0"
"576","Hidden Figures","The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.","Theodore Melfi","Taraji P. Henson","Octavia Spencer","/rfkIeCaIHhN3K5wjJJqKmfUjYp8.jpg",,"7.8","0"
"578","Udta Punjab","Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a policeman, a doctor, a migrant worker, and a rockstar.","Abhishek Chaubey","Shahid Kapoor","Alia Bhatt","/1y4krc1zQf1R7qXiioHZsg9EsBw.jpg",,"7.8","0"
"579","Kubo and the Two Strings","Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.","Travis Knight","Charlize Theron","Art Parkinson","/bhspYsRMHgMqzUlxiVpIY8OrqMt.jpg",,"7.8","0"
"583","Rogue One","A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.","Gareth Edwards","Felicity Jones","Diego Luna","/6t8ES1d12OzWyCGxBeDYLHoaDrT.jpg",,"7.8","0"
"584","Captain America: Civil War","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","Anthony Russo","Joe Russo","Chris Evans","/wdwcOBMkt3zmPQuEMxB3FUtMio2.jpg",,"7.8","0"
"585","The Hateful Eight","Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.","Quentin Tarantino","Samuel L. Jackson","Kurt Russell","/7gfDVfaw0VaIkUGiEH13o3TIC7A.jpg",,"7.8","0"
"586","Little Women","Four sisters come of age in America in the aftermath of the Civil War.","Greta Gerwig","Saoirse Ronan","Emma Watson","/sOJqNAx4RFrCRn8HS99LEc8aenI.jpg",,"7.8","0"
"587","Loving Vincent","A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.","Dorota Kobiela","Hugh Welchman","Douglas Booth","/xW54kLO7ZB683CwMbGSN3ELSS1K.jpg",,"7.8","0"
"588","Pride","In 1984, a group of LGBT activists decide to raise money to support the National Union of Mineworkers during their lengthy strike. There is only one problem: the Union seems embarrassed to receive their support.","Matthew Warchus","Bill Nighy","Imelda Staunton","/1tqzKtAWMRURxPTvs1hzcSOoKxe.jpg",,"7.8","0"
